Date,Open,High,Low,Close,Volume
12/29/2020,"226.31","227.18","223.58","224.15","17,403,211"
12/28/2020,"224.45","226.03","223.02","224.96","17,933,500"
12/24/2020,"221.42","223.61","221.20","222.75","10,550,570"
12/23/2020,"223.11","223.56","220.80","221.02","18,699,641"
12/22/2020,"222.69","225.63","221.85","223.94","22,643,400"
12/21/2020,"217.55","224.00","217.28","222.59","37,181,887"
12/18/2020,"218.59","219.69","216.02","218.59","63,354,922"
12/17/2020,"219.87","220.89","217.92","219.42","32,515,779"
12/16/2020,"214.75","220.11","214.72","219.28","35,023,246"
12/15/2020,"215.17","215.42","212.24","214.13","27,018,109"
12/14/2020,"213.10","216.21","212.88","214.20","28,798,381"
12/11/2020,"210.05","213.32","209.11","213.26","30,979,439"
12/10/2020,"211.77","213.08","210.36","210.52","26,467,020"
12/09/2020,"215.16","215.23","211.21","211.80","32,440,600"
12/08/2020,"213.97","216.95","212.89","216.01","23,284,090"
12/07/2020,"214.37","215.54","212.99","214.29","24,620,000"
12/04/2020,"214.22","215.38","213.18","214.36","24,666,039"
12/03/2020,"214.61","216.38","213.65","214.24","25,120,920"
12/02/2020,"214.88","215.47","212.80","215.37","23,724,510"
12/01/2020,"214.51","217.32","213.35","216.21","30,931,320"
11/30/2020,"214.10","214.76","210.84","214.07","33,064,750"
11/27/2020,"214.85","216.27","214.04","215.23","14,512,210"
11/25/2020,"215.11","215.29","212.46","213.87","21,012,891"
11/24/2020,"209.59","214.25","208.86","213.86","33,979,727"
11/23/2020,"210.95","212.29","208.16","210.11","25,683,510"
11/20/2020,"212.20","213.29","210.00","210.39","22,843,119"
11/19/2020,"211.38","213.03","209.93","212.42","24,792,750"
11/18/2020,"213.65","215.17","210.93","211.08","28,372,789"
11/17/2020,"216.10","217.68","214.08","214.46","24,154,109"
11/16/2020,"214.87","217.74","214.52","217.23","24,953,340"
11/13/2020,"216.36","217.42","214.16","216.51","18,630,311"
11/12/2020,"217.21","219.11","214.46","215.44","21,616,119"
11/11/2020,"212.39","218.04","212.20","216.55","29,440,789"
11/10/2020,"214.50","216.50","209.72","211.01","44,045,121"
11/09/2020,"224.44","228.12","217.88","218.39","44,394,953"
11/06/2020,"222.26","224.36","218.03","223.72","25,231,900"
11/05/2020,"222.04","224.12","221.15","223.29","36,080,141"
11/04/2020,"214.02","218.32","212.42","216.39","42,311,781"
11/03/2020,"203.89","208.12","203.12","206.43","27,512,029"
11/02/2020,"204.29","205.28","200.12","202.33","30,842,160"
10/30/2020,"203.50","204.29","199.62","202.47","36,980,113"
10/29/2020,"204.07","207.36","203.37","204.72","31,432,561"
10/28/2020,"207.67","208.84","202.10","202.68","51,195,594"
10/27/2020,"211.59","214.67","210.33","213.25","36,700,328"
10/26/2020,"213.85","216.34","208.10","210.08","37,111,559"
10/23/2020,"215.03","216.28","213.16","216.23","18,879,609"
10/22/2020,"213.93","216.06","211.70","214.89","22,351,449"
10/21/2020,"213.12","216.92","213.12","214.80","22,724,910"
10/20/2020,"215.80","217.37","213.09","214.65","22,753,510"
10/19/2020,"220.42","222.30","213.72","214.22","27,625,840"
10/16/2020,"220.15","222.29","219.32","219.66","26,057,881"
10/15/2020,"217.10","220.36","216.01","219.66","22,733,061"
10/14/2020,"223.00","224.22","219.13","220.86","23,451,711"
10/13/2020,"222.72","225.21","220.43","222.86","28,950,840"
10/12/2020,"218.79","223.86","216.81","221.40","40,461,367"
10/09/2020,"211.23","215.86","211.23","215.81","26,458,051"
10/08/2020,"210.51","211.19","208.32","210.58","19,925,840"
10/07/2020,"207.06","210.11","206.72","209.83","25,681,051"
10/06/2020,"208.82","210.18","204.82","205.91","28,554,260"
10/05/2020,"207.22","210.41","206.98","210.38","21,331,561"
10/02/2020,"208.00","210.99","205.54","206.19","33,154,781"
10/01/2020,"213.49","213.99","211.32","212.46","27,158,420"
09/30/2020,"207.73","211.98","206.54","210.33","33,829,090"
09/29/2020,"209.35","210.07","206.81","207.26","24,464,471"
09/28/2020,"210.88","212.57","208.06","209.44","32,004,939"
09/25/2020,"203.55","209.04","202.54","207.82","29,437,311"
09/24/2020,"199.85","205.57","199.20","203.19","31,202,490"
09/23/2020,"207.90","208.10","200.03","200.59","30,803,779"
09/22/2020,"205.06","208.10","202.08","207.42","33,517,070"
09/21/2020,"197.19","202.71","196.38","202.54","39,839,660"
09/18/2020,"202.80","203.65","196.25","200.39","55,225,328"
09/17/2020,"200.05","204.33","199.96","202.91","34,011,262"
09/16/2020,"210.62","210.65","204.64","205.05","26,372,461"
09/15/2020,"208.42","209.78","206.93","208.78","21,823,939"
09/14/2020,"204.24","209.20","204.03","205.41","30,375,770"
09/11/2020,"207.20","208.63","201.24","204.03","33,620,070"
