Date,Open,High,Low,Close,Adj Close,Volume
10/14/2019,71.559998,73.260002,71.559998,72.849998,72.849998,1470600
10/15/2019,71.540001,71.989998,68.959999,69.129997,69.129997,4337900
10/16/2019,67.290001,68.910004,65.410004,68.089996,68.089996,3979400
10/17/2019,68.639999,68.910004,67.495003,67.980003,67.980003,1342600
10/18/2019,67.470001,67.535004,63.470001,64.400002,64.400002,5631000
10/21/2019,64.5,64.956001,62.384998,63.869999,63.869999,4875500
10/22/2019,64.639999,65.379997,63.07,63.73,63.73,3328800
10/23/2019,63.540001,65.559998,63.099998,63.810001,63.810001,2796300
10/24/2019,64.889999,66.339996,64.889999,65.75,65.75,3052900
10/25/2019,65.879997,66.400002,65.150002,66.139999,66.139999,3182900
10/28/2019,66.550003,67.120003,65.470001,66.68,66.68,2258300
10/29/2019,66.900002,67.019997,66.220001,66.410004,66.410004,3102900
10/30/2019,72.800003,73,67.620003,69.440002,69.440002,6180600
10/31/2019,68.5,71.32,68.231003,70.650002,70.650002,3644400
11/1/2019,70.559998,72.360001,69.745003,72.230003,72.230003,2066900
11/4/2019,72.459999,72.675003,70.360001,71.959999,71.959999,2155800
11/5/2019,71.610001,72.300003,70.660004,70.709999,70.709999,1937800
11/6/2019,70.849998,70.940002,69.660004,70.32,70.32,1506900
11/7/2019,70.43,71.220001,69.809998,69.839996,69.839996,928800
11/8/2019,69.510002,71.239998,69.129997,70.830002,70.830002,872300
11/11/2019,70.900002,72.709999,70.486,72.309998,72.309998,1226200
11/12/2019,72.209999,73.870003,72.150002,73.510002,73.510002,1573500
11/13/2019,73.389999,74,72.75,73.870003,73.870003,996500
11/14/2019,73.620003,74.559998,73.559998,74.07,74.07,1416300
11/15/2019,74.260002,75.720001,73.449997,75.440002,75.440002,1391800
11/18/2019,75.400002,77.309998,75.019997,77.209999,77.209999,2267100
11/19/2019,77.379997,78.110001,76.589996,77.470001,77.470001,1241800
11/20/2019,77.110001,79.290001,77.050003,78.029999,78.029999,1834200
11/21/2019,78.25,79.705002,78.25,78.809998,78.809998,1341400
11/22/2019,79.699997,80.169998,78.190002,78.900002,78.900002,1502200
11/25/2019,79.139999,79.309998,78,78.330002,78.330002,1882400
11/26/2019,78.93,80.290001,78.613998,79.230003,79.230003,1854400
11/27/2019,79.25,79.730003,78.449997,78.830002,78.830002,720900
11/29/2019,78.919998,79.849998,78.700996,79,79,308400
12/2/2019,78.779999,78.779999,74.18,74.650002,74.650002,2164200
12/3/2019,72.410004,75.589996,72.050003,75.410004,75.410004,1298500
12/4/2019,76.150002,76.300003,74.75,75.849998,75.849998,1020300
12/5/2019,76.010002,76.417999,75.629997,75.769997,75.769997,718400
12/6/2019,75.830002,76.230003,75.18,75.699997,75.699997,708800
12/9/2019,75.370003,75.650002,74.339996,75.080002,75.080002,1082600
12/10/2019,75.120003,75.669998,73.459999,73.970001,73.970001,1073700
12/11/2019,74.419998,74.419998,72.57,73.389999,73.389999,1449500
12/12/2019,73,74,71.839996,73.709999,73.709999,849800
12/13/2019,73.709999,75.949997,73.709999,75.75,75.75,1111700
12/16/2019,75.93,77.160004,75.890999,76.730003,76.730003,1373200
12/17/2019,77.449997,77.540001,75.110001,75.239998,75.239998,1574200
