Date,Open,High,Low,Close,Volume
10/14/2020,351.49,351.49,341.23,345.3,"896,431"
10/13/2020,352.67,353.74,347.51,349.59,"1,118,898"
10/12/2020,345.18,353.98,342.21,350.93,"1,571,289"
10/9/2020,336.62,342.2,335.77,341.81,"846,808"
10/8/2020,336.36,337.76,333.26,334.99,"788,297"
10/7/2020,327.74,336.91,327.08,334.91,"1,236,112"
10/6/2020,331.31,333.87,323.91,325.38,"1,042,447"
10/5/2020,330.33,332,327.12,331.36,"1,296,524"
10/2/2020,326.16,329.48,319.91,321.89,"902,722"
10/1/2020,330.74,333.98,329.85,332.34,"1,091,541"
9/30/2020,323.02,329.14,319.67,326.21,"1,804,877"
9/29/2020,325.54,329.22,323.05,323.64,"1,122,510"
9/28/2020,325.43,326.13,322.26,325.55,"1,134,304"
9/25/2020,309.9,318.79,307.77,318.5,"1,239,803"
9/24/2020,304.67,312.63,301.94,308.59,"1,216,929"
9/23/2020,315.4,315.98,303.06,304.93,"1,412,131"
9/22/2020,309.81,318.12,306.7,317.28,"2,099,947"
9/21/2020,296.29,308.02,295.37,307.7,"1,594,620"
9/18/2020,307.7,312.95,296.77,300.13,"2,284,451"
9/17/2020,304.91,308.4,301.34,307.23,"1,795,549"
9/16/2020,324.86,326.23,312.61,313.38,"1,668,809"
9/15/2020,321.38,324.15,319.38,322.47,"1,111,618"
9/14/2020,320.17,321.25,315.77,318.31,"888,851"
9/11/2020,323.82,325.35,311.41,315,"955,183"
9/10/2020,329.58,332.66,317.07,320.39,"1,254,155"
9/9/2020,324.4,331.31,319.74,328.21,"1,303,238"
9/8/2020,320.79,329.36,319.65,320.82,"1,578,582"
9/4/2020,337.76,340.53,324.61,333.11,"1,219,458"
9/3/2020,353.11,353.11,336.66,339.63,"1,570,070"
9/2/2020,348.67,355.67,347.47,354.18,"1,438,039"
9/1/2020,344.92,349.33,343.56,347.18,"1,074,621"
8/31/2020,345.89,346.24,342.1,345.39,"1,070,807"
8/28/2020,346.73,347.38,343.84,346.11,"1,189,442"
8/27/2020,341.84,349.51,339.06,345,"1,880,870"
8/26/2020,356.86,360,338.07,342.34,"3,108,571"
8/25/2020,332.5,337.37,329.95,336.42,"1,718,389"
8/24/2020,325.27,334.15,324.63,333.12,"2,088,371"
8/21/2020,319.86,322.6,318.4,322.23,"1,174,791"
8/20/2020,310,320.66,309.94,320.06,"1,083,578"
8/19/2020,308.67,313.95,305.86,310.55,"991,195"
8/18/2020,310,311,306.58,308.9,"755,750"
8/17/2020,307.84,310.02,306.83,308.01,"714,919"
8/14/2020,307.55,308.74,304.82,305.54,"596,048"
8/13/2020,305.25,310.71,305.25,306.71,"760,839"
